category,date,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10
2. Alcoholic beverages and tobacco,2005,54,61,67,47,44,41,33,31,34,27
2. Alcoholic beverages and tobacco,2006,44,58,53,42,41,46,35,38,32,27
2. Alcoholic beverages and tobacco,2007,48,57,49,36,46,40,37,33,30,23
2. Alcoholic beverages and tobacco,2008,39,44,49,49,42,39,38,33,28,22
2. Alcoholic beverages and tobacco,2009,43,46,46,48,40,38,38,33,28,26
2. Alcoholic beverages and tobacco,2010,50,58,43,41,37,36,32,35,29,26
2. Alcoholic beverages and tobacco,2011,49,54,49,48,39,38,42,33,29,27
2. Alcoholic beverages and tobacco,2012,60,58,51,41,39,40,34,28,26,24
2. Alcoholic beverages and tobacco,2013,55,57,43,44,45,39,38,34,32,25
2. Alcoholic beverages and tobacco,2014,57,52,46,44,38,48,41,33,33,24
2. Alcoholic beverages and tobacco,2015,48,55,51,50,41,40,36,35,25,25
2. Alcoholic beverages and tobacco,2016,45,41,43,36,35,44,39,38,34,28
2. Alcoholic beverages and tobacco,2017,39,39,39,34,33,36,34,31,31,34
2. Alcoholic beverages and tobacco,2018,39,39,39,35,34,36,35,32,32,35
3. Clothing and footwear,2005,41,40,38,40,43,44,46,46,46,49
3. Clothing and footwear,2006,35,48,43,45,47,46,42,45,48,49
3. Clothing and footwear,2007,42,41,42,40,43,45,45,45,42,48
3. Clothing and footwear,2008,37,41,40,38,41,39,46,44,53,48
3. Clothing and footwear,2009,40,40,34,37,39,39,40,41,42,45
3. Clothing and footwear,2010,31,35,41,35,34,44,42,39,41,47
3. Clothing and footwear,2011,42,40,39,41,38,40,47,47,47,52
3. Clothing and footwear,2012,33,41,39,41,45,45,45,51,49,50
3. Clothing and footwear,2013,45,47,42,48,48,50,48,51,51,53
3. Clothing and footwear,2014,37,48,46,49,46,42,50,53,51,58
3. Clothing and footwear,2015,39,40,43,46,44,55,48,54,57,50
3. Clothing and footwear,2016,43,41,50,47,55,42,55,49,49,58
3. Clothing and footwear,2017,51,52,49,47,51,55,53,55,54,49
3. Clothing and footwear,2018,49,51,48,45,50,54,51,53,53,47
"4. Housing, water, electricity, gas and other fuels",2005,407,357,336,343,340,329,327,318,305,288
"4. Housing, water, electricity, gas and other fuels",2006,418,335,343,348,335,328,324,316,311,294
"4. Housing, water, electricity, gas and other fuels",2007,419,378,361,360,357,342,323,321,311,275
"4. Housing, water, electricity, gas and other fuels",2008,416,375,347,344,349,344,327,311,305,293
"4. Housing, water, electricity, gas and other fuels",2009,415,384,365,367,361,338,334,322,305,292
"4. Housing, water, electricity, gas and other fuels",2010,442,385,365,381,369,343,336,320,304,292
"4. Housing, water, electricity, gas and other fuels",2011,415,371,377,354,351,349,332,323,312,288
"4. Housing, water, electricity, gas and other fuels",2012,429,390,386,372,378,352,338,334,322,298
"4. Housing, water, electricity, gas and other fuels",2013,408,376,364,361,347,344,334,323,313,285
"4. Housing, water, electricity, gas and other fuels",2014,419,387,372,345,363,355,322,328,305,284
"4. Housing, water, electricity, gas and other fuels",2015,436,402,376,372,369,349,339,314,305,296
"4. Housing, water, electricity, gas and other fuels",2016,404,383,370,364,364,347,315,314,309,278
"4. Housing, water, electricity, gas and other fuels",2017,420,370,355,360,349,337,325,317,301,291
"4. Housing, water, electricity, gas and other fuels",2018,420,371,355,360,350,338,326,318,302,293
"5. Furniture, household equipment and maintenance",2005,40,44,47,42,49,45,44,53,51,57
"5. Furniture, household equipment and maintenance",2006,46,49,46,52,49,53,53,50,49,62
"5. Furniture, household equipment and maintenance",2007,37,47,49,44,42,45,45,44,45,60
"5. Furniture, household equipment and maintenance",2008,41,46,48,41,47,45,50,46,45,60
"5. Furniture, household equipment and maintenance",2009,39,43,46,39,48,52,45,47,49,56
"5. Furniture, household equipment and maintenance",2010,40,47,41,37,46,45,50,46,54,50
"5. Furniture, household equipment and maintenance",2011,39,43,42,42,45,40,44,43,47,46
"5. Furniture, household equipment and maintenance",2012,39,39,42,41,39,38,49,42,45,49
"5. Furniture, household equipment and maintenance",2013,41,38,42,43,45,46,44,44,44,46
"5. Furniture, household equipment and maintenance",2014,33,41,43,45,45,46,46,43,46,47
"5. Furniture, household equipment and maintenance",2015,33,41,43,39,39,44,41,44,39,51
"5. Furniture, household equipment and maintenance",2016,37,44,43,45,47,44,47,45,45,53
"5. Furniture, household equipment and maintenance",2017,36,43,42,45,48,43,49,54,48,49
"5. Furniture, household equipment and maintenance",2018,35,42,41,44,46,42,47,53,46,47
6. Health,2005,11,17,15,15,15,15,17,16,17,19
6. Health,2006,13,14,20,20,16,17,18,20,21,20
6. Health,2007,10,13,15,16,18,15,17,15,18,22
6. Health,2008,13,11,13,19,20,17,16,17,19,16
6. Health,2009,9,11,12,17,14,15,14,15,15,19
6. Health,2010,10,14,16,21,14,16,14,14,17,16
6. Health,2011,11,14,17,19,16,18,15,16,19,18
6. Health,2012,11,16,16,18,16,16,15,18,16,21
6. Health,2013,10,14,14,16,19,17,19,19,20,18
6. Health,2014,10,16,12,14,17,18,15,14,16,20
6. Health,2015,13,13,14,15,18,24,19,19,22,16
6. Health,2016,11,18,17,18,18,19,21,18,21,21
6. Health,2017,13,15,18,18,16,17,21,21,19,20
6. Health,2018,13,15,18,17,16,17,21,21,19,20
7. Transport,2005,71,70,73,90,90,103,109,120,120,132
7. Transport,2006,70,84,81,87,92,106,113,119,132,136
7. Transport,2007,66,61,77,89,96,103,117,117,127,133
7. Transport,2008,75,76,83,89,99,98,103,118,125,137
7. Transport,2009,65,64,85,86,95,102,108,122,130,135
7. Transport,2010,76,77,84,90,105,118,129,135,141,147
7. Transport,2011,88,86,88,94,108,112,126,127,136,137
7. Transport,2012,81,76,88,109,106,111,126,129,134,151
7. Transport,2013,71,73,89,91,97,106,114,126,128,138
7. Transport,2014,74,76,86,90,104,100,121,122,138,140
7. Transport,2015,68,76,80,93,100,98,118,122,128,132
7. Transport,2016,79,84,80,90,93,104,121,125,135,138
7. Transport,2017,79,87,93,98,99,122,126,125,139,140
7. Transport,2018,79,87,94,99,100,121,125,125,138,138
8. Communication,2005,25,27,27,24,23,22,20,20,20,17
8. Communication,2006,26,29,29,25,26,25,22,19,20,18
8. Communication,2007,25,25,23,23,23,21,21,20,20,18
8. Communication,2008,24,24,25,24,23,23,19,18,18,16
8. Communication,2009,23,25,25,22,21,22,22,20,17,16
8. Communication,2010,26,27,30,26,23,25,25,22,20,18
8. Communication,2011,25,28,26,25,27,25,21,23,21,18
8. Communication,2012,28,29,32,28,28,28,25,24,23,20
8. Communication,2013,31,33,32,30,30,31,27,25,25,21
8. Communication,2014,31,34,33,35,29,30,30,30,26,22
8. Communication,2015,30,35,36,34,33,29,31,26,27,22
8. Communication,2016,35,35,34,34,32,31,29,27,25,22
8. Communication,2017,29,29,32,31,28,26,24,23,21,19
8. Communication,2018,29,29,32,31,28,26,24,23,21,19
9. Recreation and culture,2005,82,99,103,107,112,116,110,114,116,114
9. Recreation and culture,2006,89,100,97,108,107,105,116,121,109,107
9. Recreation and culture,2007,82,94,105,109,104,116,116,119,118,123
9. Recreation and culture,2008,92,104,99,116,111,113,115,122,119,108
9. Recreation and culture,2009,86,92,98,100,96,111,111,110,115,111
9. Recreation and culture,2010,80,88,102,93,106,102,104,103,109,115
9. Recreation and culture,2011,72,95,98,101,102,99,101,117,113,115
9. Recreation and culture,2012,75,87,79,90,90,101,102,99,108,103
9. Recreation and culture,2013,77,91,96,97,101,104,104,102,104,117
9. Recreation and culture,2014,75,89,94,102,96,101,111,110,109,116
9. Recreation and culture,2015,77,87,95,96,95,105,107,107,119,125
9. Recreation and culture,2016,86,86,87,100,96,110,107,116,115,122
9. Recreation and culture,2017,88,98,107,102,108,111,106,108,115,115
9. Recreation and culture,2018,89,99,108,103,109,112,107,110,116,117
