id,parentId,name,size,var2,var3,var4,var5
c1_2_1_5,c1_2_1,11.05B: Beer,1,1,1,1,1
c1_2_1_6,c1_2_1,11.07: Soft drinks & bottled wines,1,1,1,1,1
c1_2_2,c1_2,12: Tobacco,1,1,1,1,1
c1_2_2_1,c1_2_2,01.1D: Raw tobacco,1,1,1,1,1
c1_2_2_2,c1_2_2,12.0: Tobacco products,1,1,1,1,1
c2,c0,2and4: Basic materials,1,1,1,1,1
c2_1,c2,2: Crude materials,1,1,1,1,1
c2_1_1,c2_1,24: Wood & cork,1,1,1,1,1
c2_1_1_1,c2_1_1,02.2: Wood in the rough,1,1,1,1,1
c2_1_1_2,c2_1_1,02.3B: Raw cork,1,1,1,1,1
c2_1_1_3,c2_1_1,16.1A: Wood simple worked,1,1,1,1,1
c2_1_1_4,c2_1_1,16.2A: Processed & waste cork,1,1,1,1,1
c2_1_1_5,c2_1_1,20.14A: Wood charcoal,1,1,1,1,1
c2_1_1_6,c2_1_1,38.1C: Wood waste,1,1,1,1,1
c2_1_2,c2_1,25: Pulp & waste paper,1,1,1,1,1
c2_1_2_1,c2_1_2,17.1A: Wood pulp,1,1,1,1,1
c2_1_2_2,c2_1_2,38.1D: Paper waste & scrap,1,1,1,1,1
c2_1_3,c2_1,26: Textile fibres,1,1,1,1,1
c2_1_3_1,c2_1_3,01.1F: Fibre crops,1,1,1,1,1
c2_1_3_2,c2_1_3,01.4G: Shorn greasy wool & other animal hair,1,1,1,1,1
c2_1_3_3,c2_1_3,10.1D: Pulled greasy wool,1,1,1,1,1
c2_1_3_4,c2_1_3,10.4D: Cotton linters,1,1,1,1,1
c2_1_3_5,c2_1_3,13.1A: Processed textile fibres,1,1,1,1,1
c2_1_3_6,c2_1_3,13.9A: Rags & worn out textiles,1,1,1,1,1
c2_1_3_7,c2_1_3,14.1A: Worn clothing,1,1,1,1,1
c2_1_3_8,c2_1_3,20.6A: Unworked man-made fibres,1,1,1,1,1
c2_1_3_9,c2_1_3,38.1E: Yarn waste,1,1,1,1,1
c2_1_4,c2_1,28: Metal ores & scrap,1,1,1,1,1
c2_1_4_1,c2_1_4,07.1: Iron ores,1,1,1,1,1
c2_1_4_2,c2_1_4,07.2: Non-ferrous metal ores & concentrates,1,1,1,1,1
c2_1_4_3,c2_1_4,20.13B: Roasted iron pyrites,1,1,1,1,1
c2_1_4_4,c2_1_4,24.1A: Remelting scrap ingots of iron or steel,1,1,1,1,1
c2_1_4_5,c2_1_4,24.4A: Processed non-ferrous metal ores,1,1,1,1,1
c2_1_4_6,c2_1_4,38.1G: Other metal waste,1,1,1,1,1
c2_1_5,c2_1,2OCM: Other crude materials,1,1,1,1,1
c2_1_5_1,c2_1_5,"21: Hides, skins & furskins",1,1,1,1,1
c2_1_5_1_1,c2_1_5_1,01.4F: Hides & skins of other animals,1,1,1,1,1
c2_1_5_1_2,c2_1_5_1,"10.1C: Hides & skins of cows, goats & sheep",1,1,1,1,1
c2_1_5_1_3,c2_1_5_1,38.1A: Leather waste,1,1,1,1,1
c2_1_5_2,c2_1_5,22: Oil-seeds & oleaginous fruits,1,1,1,1,1
c2_1_5_2_1,c2_1_5_2,01.1E: Oil seeds,1,1,1,1,1
c2_1_5_2_2,c2_1_5_2,01.2C: Oleaginous fruits,1,1,1,1,1
c2_1_5_2_3,c2_1_5_2,10.4C: Flours & meals of oils seeds & fruits,1,1,1,1,1
c2_1_5_3,c2_1_5,23: Crude rubber,1,1,1,1,1
c2_1_5_3_1,c2_1_5_3,01.2D: Natural rubber,1,1,1,1,1
c2_1_5_3_2,c2_1_5_3,02.3A: Natural gums,1,1,1,1,1
c2_1_5_3_3,c2_1_5_3,20.17: Synthetic rubber,1,1,1,1,1
c2_1_5_3_4,c2_1_5_3,22.1A: Reclaimed rubber,1,1,1,1,1
c2_1_5_3_5,c2_1_5_3,38.1B: Rubber waste,1,1,1,1,1
c2_1_5_4,c2_1_5,27: Crude minerals & fertilisers,1,1,1,1,1
c2_1_5_4_1,c2_1_5_4,06.1A: Bituminous or oil shale & tar sands,1,1,1,1,1
c2_1_5_4_2,c2_1_5_4,"08.1: Unworked stone, gravel, sand, clays & kaolin",1,1,1,1,1
c2_1_5_4_3,c2_1_5_4,08.9A: Other minerals,1,1,1,1,1
c2_1_5_4_4,c2_1_5_4,10.8G: Food-grade salt,1,1,1,1,1
c2_1_5_4_5,c2_1_5_4,20.13A: Processed sulphur,1,1,1,1,1
c2_1_5_4_6,c2_1_5_4,20.15A: Animal & vegetable fertilisers,1,1,1,1,1
c2_1_5_4_7,c2_1_5_4,23.5A: Plaster & calcined dolomite,1,1,1,1,1
c2_1_5_4_8,c2_1_5_4,23.9A: Tarred macadam,1,1,1,1,1
c2_1_5_4_9,c2_1_5_4,32.1A: Worked industrial diamonds & powder of precious stones,1,1,1,1,1
c2_1_5_4_10,c2_1_5_4,38.1F: Slag from iron & steel manufacture,1,1,1,1,1
c2_1_5_4_11,c2_1_5_4,38.2A: Ash from waste incineration,1,1,1,1,1
c2_1_5_5,c2_1_5,29: Other crude animal & vegetable materials,1,1,1,1,1
c2_1_5_5_1,c2_1_5_5,"01.1G: Cut flowers, seeds",1,1,1,1,1
c2_1_5_5_2,c2_1_5_5,01.2E: Other perennial crops,1,1,1,1,1
c2_1_5_5_3,c2_1_5_5,01.3: Planting material,1,1,1,1,1
c2_1_5_5_4,c2_1_5_5,01.4H: Bovine semen,1,1,1,1,1
c2_1_5_5_5,c2_1_5_5,02.1: Trees & their seeds,1,1,1,1,1
c2_1_5_5_6,c2_1_5_5,02.3C: Other wild growing products,1,1,1,1,1
c2_1_5_5_7,c2_1_5_5,03.0C: Other aquatic plant & animal products,1,1,1,1,1
c2_1_5_5_8,c2_1_5_5,"10.1E: Inedible offal, unworked bird skins & feathers",1,1,1,1,1
c2_1_5_5_9,c2_1_5_5,10.2C: Inedible products of fish & shellfish,1,1,1,1,1
c2_1_5_5_10,c2_1_5_5,10.8H: Vegetable extracts,1,1,1,1,1
c2_1_5_5_11,c2_1_5_5,96.0: Human hair,1,1,1,1,1
c2_2,c2,4: Animal & vegetable oils & fats,1,1,1,1,1
c2_2_1,c2_2,41: Animal oils & fats,1,1,1,1,1
c2_2_1_1,c2_2_1,10.1F: Crude animal fats,1,1,1,1,1
c2_2_1_2,c2_2_1,10.4E: Processed animal oils & fats,1,1,1,1,1
c2_2_1_3,c2_2_1,13.1B: Wool grease,1,1,1,1,1
c2_2_2,c2_2,42: Vegetable oils & fats,1,1,1,1,1
c2_2_2_1,c2_2_2,10.4F: Vegetable oils,1,1,1,1,1
c2_2_2_2,c2_2_2,10.6E: Maize oil,1,1,1,1,1
c2_2_3,c2_2,43: Processed oils & fats,1,1,1,1,1
c2_2_3_1,c2_2_3,01.4I: Beeswax,1,1,1,1,1
c2_2_3_2,c2_2_3,10.4G: Hydrogenated fats & oils and vegetable juices,1,1,1,1,1
c2_2_3_3,c2_2_3,20.5A: Chemically modified fats & oils,1,1,1,1,1
c3,c0,3: Fuels,1,1,1,1,1
c3_1,c3,33: Oil,1,1,1,1,1
c3_1_1,c3_1,33O: Crude oil,1,1,1,1,1
c3_1_1_1,c3_1_1,06.1B: Crude petroleum oils,1,1,1,1,1
c3_1_2,c3_1,33R: Refined oil,1,1,1,1,1
c3_1_2_1,c3_1_2,19.1B: Coal tar & pitch,1,1,1,1,1
c3_1_2_2,c3_1_2,19.2B: Refined oils & other petroleum products,1,1,1,1,1
c3_1_2_3,c3_1_2,20.14B: Products of tar distillation,1,1,1,1,1
c3_1_2_4,c3_1_2,23.9B: Bituminous mixtures,1,1,1,1,1
c3_1_2_5,c3_1_2,38.1H: Waste oils,1,1,1,1,1
c3_2,c3,3OF: Fuels other than oil,1,1,1,1,1
c3_2_1,c3_2,"32: Coal, coke & briquettes",1,1,1,1,1
c3_2_1_1,c3_2_1,05.1: Coal,1,1,1,1,1
c3_2_1_2,c3_2_1,05.2: Lignite,1,1,1,1,1
c3_2_1_3,c3_2_1,08.9B: Peat,1,1,1,1,1
c3_2_1_4,c3_2_1,"19.1A: Coke, semi-coke & retort carbon",1,1,1,1,1
c3_2_1_5,c3_2_1,19.2A: Briquettes,1,1,1,1,1
c3_2_2,c3_2,34: Gas,1,1,1,1,1
c3_2_2_1,c3_2_2,06.2: Natural gas,1,1,1,1,1
c3_2_2_2,c3_2_2,19.2C: Petroleum gases & other gaseous hydrocarbons,1,1,1,1,1
c3_2_2_3,c3_2_2,35.2: Manufactured gas,1,1,1,1,1
c3_2_3,c3_2,35: Electricity,1,1,1,1,1
c3_2_3_1,c3_2_3,35.1: Electricity,1,1,1,1,1
c4,c0,5to8: Manufactures,1,1,1,1,1
c4_1,c4,5and6: Semi-manufactures,1,1,1,1,1
c4_1_1,c4_1,5: Chemicals,1,1,1,1,1
c4_1_1_1,c4_1_1,51: Organic chemicals,1,1,1,1,1
c4_1_1_1_1,c4_1_1_1,20.14C: Organic compounds n.e.s,1,1,1,1,1
c4_1_1_1_2,c4_1_1_1,20.4A: Glycerol,1,1,1,1,1
c4_1_1_1_3,c4_1_1_1,21.1A: Pharmaceutical compounds,1,1,1,1,1
c4_1_1_2,c4_1_1,52: Inorganic chemicals,1,1,1,1,1
c4_1_1_2_1,c4_1_1_2,20.11: Industrial gases,1,1,1,1,1
c4_1_1_2_2,c4_1_1_2,"20.12A: Metal oxides, peroxides & hydroxides",1,1,1,1,1
c4_1_1_2_3,c4_1_1_2,20.13C: Inorganic chemicals n.e.s,1,1,1,1,1
c4_1_1_2_4,c4_1_1_2,20.15B: Chemicals used as fertilisers,1,1,1,1,1
c4_1_1_2_5,c4_1_1_2,23.9C: Artificial corundum,1,1,1,1,1
c4_1_1_2_6,c4_1_1_2,24.4B: Processed nuclear fuel,1,1,1,1,1
c4_1_1_2_7,c4_1_1_2,38.1I: Spent fuel elements of nuclear reactors,1,1,1,1,1
c4_1_1_3,c4_1_1,"53: Dyeing, tanning & colouring materials",1,1,1,1,1
c4_1_1_3_1,c4_1_1_3,20.12B: Other dyes & pigments,1,1,1,1,1
c4_1_1_3_2,c4_1_1_3,"20.3: Paints, varnishes & printing ink",1,1,1,1,1
c4_1_1_4,c4_1_1,54: Medicinal & pharmaceutical products,1,1,1,1,1
c4_1_1_4_1,c4_1_1_4,21.1B: Other basic pharmaceutical products,1,1,1,1,1
c4_1_1_4_2,c4_1_1_4,21.2: Pharmaceutical preparations,1,1,1,1,1
c4_1_1_4_3,c4_1_1_4,22.2A: Appliances for ostomy use,1,1,1,1,1
c4_1_1_4_4,c4_1_1_4,32.5A: Medical articles n.e.s,1,1,1,1,1
c4_1_1_4_5,c4_1_1_4,38.1J: Pharmaceutical waste,1,1,1,1,1
c4_1_1_5,c4_1_1,55: Toilet & cleansing preparations,1,1,1,1,1
c4_1_1_5_1,c4_1_1_5,"20.4B: Perfumes, cleaning, polishing & toilet peparations n.e.s",1,1,1,1,1
c4_1_1_5_2,c4_1_1_5,20.5B: Essential oils,1,1,1,1,1
c4_1_1_6,c4_1_1,57and58: Plastics,1,1,1,1,1
c4_1_1_6_1,c4_1_1_6,57: Plastics in primary forms,1,1,1,1,1
c4_1_1_6_1_1,c4_1_1_6_1,20.16: Plastics in primary forms,1,1,1,1,1
c4_1_1_6_1_2,c4_1_1_6_1,38.1K: Plastic waste,1,1,1,1,1
c4_1_1_6_2,c4_1_1_6,58: Plastics in non-primary forms,1,1,1,1,1
c4_1_1_6_2_1,c4_1_1_6_2,22.2B: Plastics in non-primary forms,1,1,1,1,1
c4_1_1_7,c4_1_1,56and59: Fertilisers & other chemicals,1,1,1,1,1
c4_1_1_7_1,c4_1_1_7,56: Processed fertilisers,1,1,1,1,1
c4_1_1_7_1_1,c4_1_1_7_1,20.15C: Other mineral & chemical fertilisers,1,1,1,1,1
c4_1_1_7_2,c4_1_1_7,59: Other chemicals,1,1,1,1,1
c4_1_1_7_2_1,c4_1_1_7_2,10.5C: Casein,1,1,1,1,1
c4_1_1_7_2_2,c4_1_1_7_2,10.6F: Starches,1,1,1,1,1
c4_1_1_7_2_3,c4_1_1_7_2,20.14D: Derivates of vegetables or resin products,1,1,1,1,1
c4_1_1_7_2_4,c4_1_1_7_2,20.2: Pesticides & other agrochemical products,1,1,1,1,1
c4_1_1_7_2_5,c4_1_1_7_2,20.4C: Artificial waxes,1,1,1,1,1
c4_1_1_7_2_6,c4_1_1_7_2,20.5C: Other chemical products,1,1,1,1,1
c4_1_1_7_2_7,c4_1_1_7_2,23.6A: Ready-mixed concrete & mortars,1,1,1,1,1
c4_1_1_7_2_8,c4_1_1_7_2,23.9D: Graphite preparations,1,1,1,1,1
c4_1_1_7_2_9,c4_1_1_7_2,37.0: Sewage sludge,1,1,1,1,1
c4_1_1_7_2_10,c4_1_1_7_2,"38.1L: Municipal waste, other chemical waste & residues",1,1,1,1,1
c4_1_1_7_2_11,c4_1_1_7_2,38.2B: Waste organic solvents,1,1,1,1,1
c4_1_2,c4_1,6: Material manufactures,1,1,1,1,1
c4_1_2_1,c4_1_2,61: Leather manufactures,1,1,1,1,1
c4_1_2_1_1,c4_1_2_1,15.1A: Leather & leather articles n.e.s,1,1,1,1,1
c4_1_2_2,c4_1_2,62: Rubber manufactures,1,1,1,1,1
c4_1_2_2_1,c4_1_2_2,22.1B: Rubber products n.e.s,1,1,1,1,1
c4_1_2_2_2,c4_1_2_2,38.1M: Used rubber tyres,1,1,1,1,1
c4_1_2_3,c4_1_2,63: Wood & cork manufactures,1,1,1,1,1
c4_1_2_3_1,c4_1_2_3,"16.1B: Wooden stakes, wood flour etc",1,1,1,1,1
c4_1_2_3_2,c4_1_2_3,16.2B: Wood & cork manufactures n.e.s,1,1,1,1,1
c4_1_2_4,c4_1_2,64: Paper & paperboard,1,1,1,1,1
c4_1_2_4_1,c4_1_2_4,17.1B: Paper & paperboard,1,1,1,1,1
c4_1_2_4_2,c4_1_2_4,17.2A: Paper & paperboard articles n.e.s,1,1,1,1,1
c4_1_2_5,c4_1_2,65: Textile fabrics,1,1,1,1,1
c4_1_2_5_1,c4_1_2_5,13.1C: Textile yarn,1,1,1,1,1
c4_1_2_5_2,c4_1_2_5,13.2: Woven textiles,1,1,1,1,1
c4_1_2_5_3,c4_1_2_5,13.9B: Textile articles n.e.s,1,1,1,1,1
c4_1_2_5_4,c4_1_2_5,14.1B: Hat shapes & forms,1,1,1,1,1
c4_1_2_5_5,c4_1_2_5,17.2B: Wadding & textile wall coverings,1,1,1,1,1
c4_1_2_5_6,c4_1_2_5,20.6B: Man-made filament yarn,1,1,1,1,1
c4_1_2_5_7,c4_1_2_5,22.1C: Rubberized textile fabrics,1,1,1,1,1
c4_1_2_5_8,c4_1_2_5,22.2C: Linoleum etc,1,1,1,1,1
c4_1_2_5_9,c4_1_2_5,23.1A: Yarn of glass fibre,1,1,1,1,1
c4_1_2_6,c4_1_2,66: Mineral manufactures,1,1,1,1,1
c4_1_2_6_1,c4_1_2_6,66lessP: Mineral manufactures less precious stones,1,1,1,1,1
c4_1_2_6_1_1,c4_1_2_6_1,23.1B: Glass & glass products n.e.s,1,1,1,1,1
c4_1_2_6_1_2,c4_1_2_6_1,23.2: Refactory products,1,1,1,1,1
c4_1_2_6_1_3,c4_1_2_6_1,"23.3: Bricks, tiles etc",1,1,1,1,1
c4_1_2_6_1_4,c4_1_2_6_1,23.4A: Ceramic articles n.e.s,1,1,1,1,1
c4_1_2_6_1_5,c4_1_2_6_1,23.5B: Cement & lime,1,1,1,1,1
c4_1_2_6_1_6,c4_1_2_6_1,"23.6B: Articles of concrete, plaster & cement n.e.s",1,1,1,1,1
c4_1_2_6_1_7,c4_1_2_6_1,"23.7: Cut, shaped & finished stones",1,1,1,1,1
c4_1_2_6_1_8,c4_1_2_6_1,23.9E: Mineral manufactures n.e.s,1,1,1,1,1
c4_1_2_6_1_9,c4_1_2_6_1,38.1N: Glass waste,1,1,1,1,1
c4_1_2_6_2,c4_1_2_6,66P: Precious stones,1,1,1,1,1
c4_1_2_6_2_1,c4_1_2_6_2,03.0D: Unworked pearls,1,1,1,1,1
c4_1_2_6_2_2,c4_1_2_6_2,08.9C: Unworked precious stones,1,1,1,1,1
c4_1_2_6_2_3,c4_1_2_6_2,20.13D: Unworked synthetic precious stones,1,1,1,1,1
c4_1_2_6_2_4,c4_1_2_6_2,32.1B: Worked pearls & precious stones,1,1,1,1,1
c4_1_2_7,c4_1_2,67: Iron & steel,1,1,1,1,1
c4_1_2_7_1,c4_1_2_7,24.1B: Other basic iron & steel,1,1,1,1,1
c4_1_2_7_2,c4_1_2_7,"24.2: Non-cast steel tubes, pipes & hollow profiles",1,1,1,1,1
c4_1_2_7_3,c4_1_2_7,24.3A: Other cold drawn steel products,1,1,1,1,1
c4_1_2_7_4,c4_1_2_7,24.5: Cast iron & steel tubes & pipes,1,1,1,1,1
c4_1_2_8,c4_1_2,68: Non-ferrous metals,1,1,1,1,1
c4_1_2_8_1,c4_1_2_8,68lessS: Non-ferrous metals less silver,1,1,1,1,1
c4_1_2_8_1_1,c4_1_2_8_1,24.4D: Non-ferrous metals n.e.s,1,1,1,1,1
c4_1_2_8_1_2,c4_1_2_8_1,38.1O: Other non-ferrous metal waste,1,1,1,1,1
c4_1_2_8_1_3,c4_1_2_8_1,38.3: Secondary raw materials for other non-ferrous base metals,1,1,1,1,1
c4_1_2_8_2,c4_1_2_8,68S: Silver,1,1,1,1,1
c4_1_2_8_2_1,c4_1_2_8_2,24.4C: Silver,1,1,1,1,1
c4_1_2_9,c4_1_2,69: Miscellaneous metal manufactures,1,1,1,1,1
c4_1_2_9_1,c4_1_2_9,24.3B: Sandwich panels of coated steel sheet,1,1,1,1,1
c4_1_2_9_2,c4_1_2_9,24.4E: Non-ferrous metal products n.e.s,1,1,1,1,1
c4_1_2_9_3,c4_1_2_9,25.1A: Structural metal products,1,1,1,1,1
c4_1_2_9_4,c4_1_2_9,"25.2A: Metal tanks, reservoirs & containers",1,1,1,1,1
c4_1_2_9_5,c4_1_2_9,"25.7A: Cutlery, locks, hinges & tools",1,1,1,1,1
c4_1_2_9_6,c4_1_2_9,25.9A: Fabricated metal products n.e.s,1,1,1,1,1
c4_1_2_9_7,c4_1_2_9,27.5A: Non-electric domestic cookers & heaters,1,1,1,1,1
c4_2,c4,7and8: Finished manufactures,1,1,1,1,1
c4_2_1,c4_2,7: Machinery & transport equipment,1,1,1,1,1
c4_2_1_1,c4_2_1,71to77: Machinery,1,1,1,1,1
c4_2_1_1_1,c4_2_1_1,7M: Mechanical machinery,1,1,1,1,1
c4_2_1_1_1_1,c4_2_1_1_1,7MC: Mechanical machinery (consumer),1,1,1,1,1
c4_2_1_1_1_1_1,c4_2_1_1_1_1,71MC: Mechanical power generators (consumer),1,1,1,1,1
c4_2_1_1_1_1_1_1,c4_2_1_1_1_1_1,28.1A: Outboard motors,1,1,1,1,1
c4_2_1_1_1_1_2,c4_2_1_1_1_1,72C: Specialised machinery (consumer),1,1,1,1,1
c4_2_1_1_1_1_2_1,c4_2_1_1_1_1_2,28.3A: Lawnmowers,1,1,1,1,1
c4_2_1_1_1_1_2_2,c4_2_1_1_1_1_2,28.9A: Household sewing machines,1,1,1,1,1
c4_2_1_1_1_1_3,c4_2_1_1_1_1,74C: General industrial machinery (consumer),1,1,1,1,1
c4_2_1_1_1_1_3_1,c4_2_1_1_1_1_3,27.5B: Domestic fans & ventilating hoods,1,1,1,1,1
c4_2_1_1_1_1_3_2,c4_2_1_1_1_1_3,28.2E: Self-contained air conditioning machines; household weighing machines,1,1,1,1,1
c4_2_1_1_1_2,c4_2_1_1_1,7MI: Mechanical machinery (intermediate),1,1,1,1,1
c4_2_1_1_1_2_1,c4_2_1_1_1_2,71MI: Mechanical power generators (intermediate),1,1,1,1,1
c4_2_1_1_1_2_1_1,c4_2_1_1_1_2_1,25.3B: Parts of steam generators & nuclear reactors,1,1,1,1,1
c4_2_1_1_1_2_1_2,c4_2_1_1_1_2_1,"28.1C: Gas turbines and parts of engines, turbines & fluid power equipment",1,1,1,1,1
c4_2_1_1_1_2_1_3,c4_2_1_1_1_2_1,29.1A: Internal combustion engines for motor vehicles,1,1,1,1,1
c4_2_1_1_1_2_1_4,c4_2_1_1_1_2_1,30.3A: Aircraft engines,1,1,1,1,1
c4_2_1_1_1_2_2,c4_2_1_1_1_2,72I: Specialised machinery (intermediate),1,1,1,1,1
c4_2_1_1_1_2_2_1,c4_2_1_1_1_2_2,18.1: Printing type & blocks,1,1,1,1,1
c4_2_1_1_1_2_2_2,c4_2_1_1_1_2_2,"28.2B: Buckets, shovels, grabs & grips for cranes & excavators",1,1,1,1,1
c4_2_1_1_1_2_2_3,c4_2_1_1_1_2_2,28.3C: Parts of agricultural machinery,1,1,1,1,1
c4_2_1_1_1_2_2_4,c4_2_1_1_1_2_2,28.4B: Parts of specialised machine tools,1,1,1,1,1
c4_2_1_1_1_2_2_5,c4_2_1_1_1_2_2,28.9C: Parts of special purpose machinery n.e.s,1,1,1,1,1
c4_2_1_1_1_2_3,c4_2_1_1_1_2,73I: Metal working machinery (intermediate),1,1,1,1,1
c4_2_1_1_1_2_3_1,c4_2_1_1_1_2_3,27.9B: Parts of electric soldering & welding machines,1,1,1,1,1
c4_2_1_1_1_2_3_2,c4_2_1_1_1_2_3,28.2D: Parts of non-electric soldering & welding machines,1,1,1,1,1
c4_2_1_1_1_2_3_3,c4_2_1_1_1_2_3,"28.4D: Parts of metal working tools, work holders & tool holders",1,1,1,1,1
c4_2_1_1_1_2_3_4,c4_2_1_1_1_2_3,28.9E: Parts of machines for metallurgy,1,1,1,1,1
c4_2_1_1_1_2_4,c4_2_1_1_1_2,74I: General industrial machinery (intermediate),1,1,1,1,1
c4_2_1_1_1_2_4_1,c4_2_1_1_1_2_4,25.9B: Ships'propellers,1,1,1,1,1
c4_2_1_1_1_2_4_2,c4_2_1_1_1_2_4,"28.1E: Tapes, valves, bearings, gears etc",1,1,1,1,1
c4_2_1_1_1_2_4_3,c4_2_1_1_1_2_4,28.2G: Parts of general purpose machinery n.e.s,1,1,1,1,1
c4_2_1_1_1_3,c4_2_1_1_1,7MK: Mechanical machinery (capital),1,1,1,1,1
c4_2_1_1_1_3_1,c4_2_1_1_1_3,71MK: Mechanical power generators (capital),1,1,1,1,1
c4_2_1_1_1_3_1_1,c4_2_1_1_1_3_1,20.13E: Fuel elements for nuclear reactors,1,1,1,1,1
c4_2_1_1_1_3_1_2,c4_2_1_1_1_3_1,25.3A: Steam generators & nuclear reactors,1,1,1,1,1
c4_2_1_1_1_3_1_3,c4_2_1_1_1_3_1,"28.1B: Other engines, turbines, hydraulic & pneumatic motors",1,1,1,1,1
c4_2_1_1_1_3_2,c4_2_1_1_1_3,72K: Specialised machinery (capital),1,1,1,1,1
c4_2_1_1_1_3_2_1,c4_2_1_1_1_3_2,28.2A: Sheet-fed offset printing machinery,1,1,1,1,1
c4_2_1_1_1_3_2_2,c4_2_1_1_1_3_2,28.3B: Agricultural machinery n.e.s,1,1,1,1,1
c4_2_1_1_1_3_2_3,c4_2_1_1_1_3_2,28.4A: Specialised machine tools,1,1,1,1,1
